Sport,Location,Funding,Year,Month,Day,SportGroup,Date
Athletics,Sydney,106e5,2e3,9,15,Athletics,2000-09-15
Canoeing,Sydney,45e5,2e3,9,15,Other,2000-09-15
Cycling,Sydney,54e5,2e3,9,15,Cycling,2000-09-15
Diving,Sydney,9e5,2e3,9,15,Other,2000-09-15
Equestrian,Sydney,3e6,2e3,9,15,Other,2000-09-15
Gymnastics,Sydney,59e5,2e3,9,15,Other,2000-09-15
Judo,Sydney,39e5,2e3,9,15,Other,2000-09-15
Modern Pentathlon,Sydney,11e5,2e3,9,15,Other,2000-09-15
Rowing,Sydney,96e5,2e3,9,15,Rowing,2000-09-15
Sailing,Sydney,51e5,2e3,9,15,Sailing,2000-09-15
Swimming,Sydney,69e5,2e3,9,15,Swimming,2000-09-15
Taekwondo,Sydney,6e5,2e3,9,15,Other,2000-09-15
Triathlon,Sydney,14e5,2e3,9,15,Other,2000-09-15
Archery,Athens,8e5,2004,8,13,Other,2004-08-13
Athletics,Athens,114e5,2004,8,13,Athletics,2004-08-13
Canoeing,Athens,47e5,2004,8,13,Other,2004-08-13
Cycling,Athens,86e5,2004,8,13,Cycling,2004-08-13
Diving,Athens,14e5,2004,8,13,Other,2004-08-13
Equestrian,Athens,44e5,2004,8,13,Other,2004-08-13
Gymnastics,Athens,41e5,2004,8,13,Other,2004-08-13
Judo,Athens,41e5,2004,8,13,Other,2004-08-13
Modern Pentathlon,Athens,2e6,2004,8,13,Other,2004-08-13
Rowing,Athens,106e5,2004,8,13,Rowing,2004-08-13
Sailing,Athens,76e5,2004,8,13,Sailing,2004-08-13
Shooting,Athens,14e5,2004,8,13,Other,2004-08-13
Swimming,Athens,64e5,2004,8,13,Swimming,2004-08-13
Taekwondo,Athens,6e5,2004,8,13,Other,2004-08-13
Triathlon,Athens,26e5,2004,8,13,Other,2004-08-13
Weightlifting,Athens,3e5,2004,8,13,Other,2004-08-13
Archery,Beijing,2834e3,2008,8,8,Other,2008-08-08
Athletics,Beijing,26513e3,2008,8,8,Athletics,2008-08-08
Badminton,Beijing,8759e3,2008,8,8,Other,2008-08-08
Basketball,Beijing,3694e3,2008,8,8,Other,2008-08-08
Boxing,Beijing,5005e3,2008,8,8,Other,2008-08-08
Canoeing,Beijing,13622e3,2008,8,8,Other,2008-08-08
Cycling,Beijing,22151e3,2008,8,8,Cycling,2008-08-08
Diving,Beijing,5873e3,2008,8,8,Other,2008-08-08
Equestrian,Beijing,11727e3,2008,8,8,Other,2008-08-08
Fencing,Beijing,3074e3,2008,8,8,Other,2008-08-08
Gymnastics,Beijing,9036e3,2008,8,8,Other,2008-08-08
Handball,Beijing,2986e3,2008,8,8,Other,2008-08-08
Hockey,Beijing,9882e3,2008,8,8,Other,2008-08-08
Judo,Beijing,6947e3,2008,8,8,Other,2008-08-08
Modern Pentathlon,Beijing,592e4,2008,8,8,Other,2008-08-08
Rowing,Beijing,26042e3,2008,8,8,Rowing,2008-08-08
Sailing,Beijing,22292e3,2008,8,8,Sailing,2008-08-08
Shooting,Beijing,5056e3,2008,8,8,Other,2008-08-08
Swimming,Beijing,20659e3,2008,8,8,Swimming,2008-08-08
Synchronised Swimming,Beijing,1648e3,2008,8,8,Other,2008-08-08
Table Tennis,Beijing,2533e3,2008,8,8,Other,2008-08-08
Taekwondo,Beijing,2667e3,2008,8,8,Other,2008-08-08
Triathlon,Beijing,5113e3,2008,8,8,Other,2008-08-08
Volleyball,Beijing,4112e3,2008,8,8,Other,2008-08-08
Water Polo,Beijing,3147e3,2008,8,8,Other,2008-08-08
Weightlifting,Beijing,1686e3,2008,8,8,Other,2008-08-08
Wrestling,Beijing,2125e3,2008,8,8,Other,2008-08-08
Archery,London,4408e3,2012,7,27,Other,2012-07-27
Athletics,London,25148e3,2012,7,27,Athletics,2012-07-27
Badminton,London,7434900,2012,7,27,Other,2012-07-27
